	DocName	Text	Agitation	Anger	Fear	Joy	Love	Sadness	Context	ID	label
4969	Dunkle Stunden Hart, Julius	"Der Wahnsinn fiel in sein Gehirn mit heißer und versengender Gluth,
Gras wuchert an dem stillen Ort, wo meine erste Liebe ruht."	0.0	0.0	0.0	0.0	0.0	0.0	"Die Winde wallten die Straße hinab und fernher zitternd die Geige klang,
Und die Wasser rauschten träumend hinab den schattendüst'ren Waldesgang. Da lag sein Haupt an meiner Brust, und wildes Sehnen in mir schwoll,
Und er küßte mich... und er küßte mich... und mein Herz ward weit und mein Herz ward voll. Und vor mir sank die Welt dahin... Es schwanden in Nebel Zeit und Raum
Und über mich kam's wie süßer Schlaf, wie ein todesschwerer bittrer Traum. Doch als der Morgen in Osten sich hob, — o wie grau und schwer und wie kalt der Tag,
Und er nahm mein Glück und ließ mir nichts zurück als Schande und bitt're Schmach. Nein, fluch' ihm nicht! Schwer fiel die Hand des Himmels auf sein schönes Haupt,
Seines Herzens Glocke hat ausgetönt, und sein Gebein ist längst verstaubt. Der Wahnsinn fiel in sein Gehirn mit heißer und versengender Gluth,
Gras wuchert an dem stillen Ort, wo meine erste Liebe ruht."	l0070056	NONE
2553	Der Räuber Uhland, Ludwig l00200031	"Bis der Gärten reiche Blüthe
Hüllt die liebliche Gestalt;
Doch der Räuber kehret wieder
In den finstren Tannenwald."	0.0	0.0	0.0	0.0	0.0	0.0	"Der Räuber
Uhland, Ludwig Einst am schönen Frühlingstage
Tritt der Räuber vor den Wald.
Sieh! den hohlen Pfad hernieder
Kommt ein schlankes Mädchen bald. „Trügst du, statt der Maienglocken, —
Spricht des Waldes kühner Sohn —
In dem Korb den Schmuck des Königs,
Frei doch zögest du davon.“ Lange folgen seine Blicke
Der geliebten Wallerin,
Durch die Wiesengründe wandelt
Sie zu stillen Dörfern hin, Bis der Gärten reiche Blüthe
Hüllt die liebliche Gestalt;
Doch der Räuber kehret wieder
In den finstren Tannenwald."	l00200031	NONE
6409	Osterkerzen Held, Franz	"— So brach ich Wilder aus dem Grund
Der Gier mit rauhem Verlangen —
Da sah ich deinen Leidensmund,
Des edlen Härmens Wangen —"	1.0	0.0	0.0	0.0	1.0	1.0	"Die Osterkerzen im Orgeldust
Erwachten mit Engelblicken,
Da hast du das Beste meiner Brust
Entzündet in Entzücken! Du selber wie eine Leuchte schlank,
Die Augen flammenleuchtend —
O wie ich in die Kniee sank,
Mit Thränen den Betstuhl feuchtend! So rannte der Heide Widukind
Einst in den Dom zu Aachen,
Wo bunte Scheiben, Gesänge lind,
In Sinn und Herz ihm brachen — „In meinem Urwald auf's Gradewohl
Stehn Bäume, rankendurchrungen —
Doch hat der Fürst der Franken, Karol,
Selbst Säulen zu Koppeln gezwungen.“ „Und wolltest dich wagen, mein rasend Schwert,
An ihn, an die Stärkste der Säulen!“
Vom Hauch der Symmetrie verklärt,
Zerschmolz der Mörder in Heulen. — — So brach ich Wilder aus dem Grund
Der Gier mit rauhem Verlangen —
Da sah ich deinen Leidensmund,
Des edlen Härmens Wangen —"	l0090039	AGITATION#LOVE#SADNESS
939	Erlebnis Hofmannsthal, Hugo von [Pseud. Loris]	"Aber seltsam!
Ein namenloses Heimweh weinte lautlos
In meiner Seele nach dem Leben, weinte
Wie einer weint, wenn er auf großem Seeschiff
Mit gelben Riesensegeln gegen Abend
Auf dunkelblauem Wasser an der Stadt,
Der Vaterstadt vorüberfährt. Da sieht er
Die Gassen, hört die Brunnen rauschen, riecht
Den Duft der Fliederbüsche, sieht sich selber
Ein Kind am Ufer stehn, mit Kindesaugen,
Die ängstlich sind und weinen wollen, sieht
Durchs offne Fenster Licht in seinem Zimmer —
Das große Seeschiff aber trägt ihn weiter,
Auf dunkelblauem Wasser lautlos gleitend
Mit gelben, fremdgeformten Riesensegeln."	0.0	0.0	1.0	0.0	1.0	1.0	"Erlebnis
Hofmannsthal, Hugo von Mit silbergrauem Dufte war das Tal
Der Dämmerung erfüllt, wie wenn der Mond
Durch Wolken sickert. Doch es war nicht Nacht.
Mit silbergrauem Duft des dunkeln Tales
Verschwammen meine dämmernden Gedanken,
Und still versank ich in dem webenden
Durchsicht'gen Meere und verließ das Leben.
Wie wunderbare Blumen waren da,
Mit Kelchen dunkelglühend! Pflanzendickicht,
Durch das ein gelbrot Licht wie von Topasen
In warmen Strömen drang und glomm. Das Ganze
War angefüllt mit einem tiefen Schwellen
Schwermütiger Musik. Und dieses wußt' ich,
Obgleich ich's nicht begreife, doch ich wußt' es:
Das ist der Tod. Der ist Musik geworden,
Gewaltig sehnend, süß und dunkelglühend,
Verwandt der tiefsten Schwermut. Aber seltsam!
Ein namenloses Heimweh weinte lautlos
In meiner Seele nach dem Leben, weinte
Wie einer weint, wenn er auf großem Seeschiff
Mit gelben Riesensegeln gegen Abend
Auf dunkelblauem Wasser an der Stadt,
Der Vaterstadt vorüberfährt. Da sieht er
Die Gassen, hört die Brunnen rauschen, riecht
Den Duft der Fliederbüsche, sieht sich selber
Ein Kind am Ufer stehn, mit Kindesaugen,
Die ängstlich sind und weinen wollen, sieht
Durchs offne Fenster Licht in seinem Zimmer —
Das große Seeschiff aber trägt ihn weiter,
Auf dunkelblauem Wasser lautlos gleitend
Mit gelben, fremdgeformten Riesensegeln."	l0030203	FEAR#LOVE#SADNESS
3479	Das ist im Leben hässlich eingerichtet Scheffel, Victor von [Alt. Scheffel, Joseph Victor von]	"Leid, Neid und Hass, auch ich hab' sie empfunden,
Ein sturmgeprüfter, müder Wandersmann.
Ich träumt' von Frieden dann und stillen Stunden;
Da führte mich der Weg zu dir hinan.
In deinen Armen wollt' ich ganz genesen,
Zum Danke dir mein junges Leben weihn:
Behüet dich Gott! es wär' zu schön gewesen,
Behüet dich Gott, es hat nicht sollen sein! —"	0.0	1.0	0.0	0.0	1.0	1.0	"Das ist im Leben hässlich eingerichtet
Scheffel, Victor von [Alt. Scheffel, Joseph Victor von] Das ist im Leben hässlich eingerichtet,
Dass bei den Rosen gleich die Dornen stehn,
Und was das arme Herz auch sehnt und dichtet,
Zum Schlüsse kommt das Voneinandergehn.
In deinen Augen hab' ich einst gelesen,
Es blitzte drin von Lieb und Glück ein Schein:
Behüet dich Gott! es war' zu schön gewesen,
Behüet dich Gott, es hat nicht sollen sein! — Leid, Neid und Hass, auch ich hab' sie empfunden,
Ein sturmgeprüfter, müder Wandersmann.
Ich träumt' von Frieden dann und stillen Stunden;
Da führte mich der Weg zu dir hinan.
In deinen Armen wollt' ich ganz genesen,
Zum Danke dir mein junges Leben weihn:
Behüet dich Gott! es wär' zu schön gewesen,
Behüet dich Gott, es hat nicht sollen sein! —"	l00160253	ANGER#LOVE#SADNESS
3578	Das ewige Gesetz der Dinge Storch, Ludwig	"Und vom schwebenden Atom
Stürmt er auf der Wesen Leiter
Aufwärts bis zum Sonnenstrom,
Und von dort noch fliegt er weiter."	0.0	0.0	0.0	0.0	0.0	0.0	"Das ewige Gesetz der Dinge
Storch, Ludwig Auf entbund'nem Fittig reißt
Sich im Reiche der Gedanken
Kühn der gottgebor'ne Geist
Aus des Erdensternes Schranken. Und vom schwebenden Atom
Stürmt er auf der Wesen Leiter
Aufwärts bis zum Sonnenstrom,
Und von dort noch fliegt er weiter."	l0080539	NONE
7282	BALLADE VON WAHN UND TOD FRANZ WERFEL l00300161	"Und als ich ihn erkannt,
Den Augenblick, der mich trat an, da war ich selbst der andre Mann,
Und der mir hart gebot, ich selber war mein Tod.
Und nahm mir alles unverwandt,
Und wand es fort aus meiner Hand und hielt’s gepackt: –
Genuß und Liebe, Macht und Ruhm und jammernd die Dichtkunst zuletzt.
Und stand entsetzt und ausgefetzt und ohne Wahn und aufgetan und völlig                     nackt."	0.0	0.0	0.0	0.0	1.0	1.0	"Nun höret, Freunde, es!
Als ich im schwarzen Tage stand, schlug mich eine leichte Hand.
Ich stand gebannt an kalter Wand.
O schwarzes, schreckliches
Gedenken, da ich ihn nicht fand,
Den Leichten, der mich so ging an,
Und mich im schwarzen Tag des Tors geschlagen leicht mit seiner leichten                     Hand! Es fügte sich kein Schein,
Und selbst das kleine schnelle Licht, das sich in falsche Rosen flicht,
Und unterm Bild verschwimmt und schwillt.
Das kleine Licht ging ein.
Es trat kein schwarzer Engel vor,
Kein Schatten trat, kein Atem trat aus dem kalten Stein!
Doch hinter mir in meinem Traum, aufschluchzend kaum versank das Tor. Und auch kein Wort erscholl.
Doch ganz mit meiner Stimme rief ein Wort in meinem Orkus tief.
Und wie am Eichen-Ort ein Blatt war ich verdorrt.
Weh! Trocken, leicht und toll
Fiel ich an mir herab und fuhr in Herbst und großem Stoß.
Mich nahm ein Wort und Wind mit fort,
Das Wort, das durch mich stieß, das Wort mit dreien Silben hieß, das Wort hieß:                     rettungslos! O letzte Angst und Schmerz!
O Traum vom Flur, o Traum vom Haus, aus dem die Frau mich führte aus!
O Bett, im Dunkel aufgestellt, auf dem sie mich entließ zur Welt!
Ich stand in schwarzem Erz,
Und hielt mein Herz und konnte nicht schrein,
Und sang ein – Rette mich – in mich ein.
Der Raum von Stein baute mich ein. Ich hörte schallen den Fluß und fallen, den                     Fluß: Allein Und da es war also,
Tat sich mir kund mein letztes Los, und ich stieg auf aus allem Schoß.
Im schwarzen Traum vom Flur zerriß und klang die Schnur.
Und ich erkannte so,
Warum da leicht und fein die Hand mich schlug,
Die schwach an meine Stirne fuhr,
Und meinen Gang geheim bezwang, daß ich nicht wankte mehr und kaum mich selber                     trug. Und als ich ihn erkannt,
Den Augenblick, der mich trat an, da war ich selbst der andre Mann,
Und der mir hart gebot, ich selber war mein Tod.
Und nahm mir alles unverwandt,
Und wand es fort aus meiner Hand und hielt’s gepackt: –
Genuß und Liebe, Macht und Ruhm und jammernd die Dichtkunst zuletzt.
Und stand entsetzt und ausgefetzt und ohne Wahn und aufgetan und völlig                     nackt."	l00300161	LOVE#SADNESS
8052	Tiefste Qual Conradi, Hermann l0040092	"verweht von deines Schmerzes Riesenflammen.
Du sinnst und sinnst... in tollen Takten fliegt
dein Puls — — als müßtest du den Fluch verdammen,"	0.0	1.0	0.0	0.0	0.0	1.0	"Tiefste Qual
Conradi, Hermann Hast du des Daseins tiefste Qual empfunden?
Kam über dich einmal der wilde Schmerz,
der zu dir schreit aus deiner Seele Wunden? Es krampft sich in Titanenweh das Herz,
vom Daseinsekel angepackt, zusammen,
und von der Lippe stiehlt sich Hohn und Scherz, verweht von deines Schmerzes Riesenflammen.
Du sinnst und sinnst... in tollen Takten fliegt
dein Puls — — als müßtest du den Fluch verdammen,"	l0040092	ANGER#SADNESS
7574	Noch einen Gang Reisewitz, Gustav	"In deutschem Lande sterb' ich nicht,
Nicht hier werd' ich begraben;
Wo die Wüste sich dehnt, das Meer sich bricht,
Werd' ich mein Bette haben.
Doch Nachts entsteigt mein Geist dem Sand,
Irrt über Meer und Berge,
Und segnet liebend und unerkannt,
Doch thränenlos die Särge! —"	0.0	0.0	0.0	0.0	1.0	1.0	"Noch einen Gang
Reisewitz, Gustav Noch einen Gang, einen schweren Gang
Hab' ich zu thun:
Die alte, düstre Mauer entlang,
Wo die Todten ruhn,
Zu einem Grab ohne Kreuz und Stein,
Wo keine Cypressen klagen;
Man senkte hier zwei Herzen ein,
Die heiß für mich geschlagen. 's ist trübe Nacht, und ungesehn
Ans Älterngrab ich trete,
Die Trauerweiden hör' ich wehn,
Sie flüstern wie leise Gebete;
Zur vollen Weihrauchwolke schwillt
Der Duft der Lilienblüte,
Ein wehmuthsschweres Seufzen quillt
Schmerzlich aus meinem Gemüthe. In deutschem Lande sterb' ich nicht,
Nicht hier werd' ich begraben;
Wo die Wüste sich dehnt, das Meer sich bricht,
Werd' ich mein Bette haben.
Doch Nachts entsteigt mein Geist dem Sand,
Irrt über Meer und Berge,
Und segnet liebend und unerkannt,
Doch thränenlos die Särge! —"	l0020137	LOVE#SADNESS
3418	Unterwegs Semmig, Hermann	"Wir saßen wie erstarrt, als er zu Ende,
Und scheu und schweigend ging ein Jeder fort;
Er aber drückt' sein Haupt in beide Hände
Und murmelte für sich das düstre Wort:
„Wie er steh' ich auf dieser Welt allein,
Ich möchte wieder heim im Bagno sein.“ —"	1.0	0.0	0.0	0.0	1.0	1.0	"„Und gingen die Geschäfte nur etwas“,
Sprach der Hausirer, „ich tränk' auch ein Glas;
Doch immer größer wird die Noth im Volke.“ Er seufzt' und alle schwiegen wie zuvor.
Auf einmal riesig aus der Tabackswolke
Hob sich der greise Vagabund empor.
Um seine Brauen lag es lange schon
Wie eines Wetters unheimliches Drohn,
Und auf der Stirne seine Ader schwoll,
Und donnernd also jetzt sein Wort erscholl:
„Wo liegt die Quelle von des Volkes Noth?
Im Volke selbst und seinem feigen Dulden!
Wollt ihr nicht ewig eure Noth verschulden,
So ruft verzweifelt aus: Brot oder Tod!
Armsel'ge Zeit, wo statt auf Barrikaden
Zu bluten für sein Recht, der freie Mann
Nur auf der Guillotine sterben kann!
Im Bagno nur bei meinen Kameraden
Lebt wie des Elementes wilde Kraft
Noch ungezähmt und frei die Leidenschaft;
Zurück zu ihnen sehne ich mich wieder,
Ich steh' auf dieser Welt sonst ganz allein,
Fast wie der Greis, der mir fällt eben ein.
Noch rieselt kalt es mir durch alle Glieder,
Denk' ich an das, was ich erzählen will.“ Er setzte sich, wir aber horchten still.
„'s war Neunundachtzig beim Bastillensturm,
Die Glocken heulten wild von jedem Thurm
Und um die alte finstre Zwingburg her
Schwoll heulend wie der Sturm des Volkes Meer ...“ „Ihr war't dabei“, warf froh erstaunt ich ein,
„Ihr kämpftet mit in jenen Heldenreih'n?
Das war ein Volk noch, nicht wie die, so heute
Sich ihres Herr'n verkaufen selbst als Beute;
Das wußte noch zu kämpfen, ja zu sterben,
Sobald es galt die Freiheit zu erwerben.“ „Ich war dabei; ein Knabe von neun Jahren,
Kämpft' ich ein Mann in jenen Heldenscharen.
Heiß brütete der Julisonne Glut,
Doch heißer kochte noch in uns das Blut.
Die Veste fiel; was wird, was muß nicht fallen,
Wenn einig sich ein Volk zum Kampf erbebt!
Wie alles kam, bekannt ist es euch Allen;
Doch höret weiter, was ich da erlebt.
Wildflutend stürzte zügellos die Menge
Sich durch die Höfe, Treppen, Keller, Gänge;
Die Opfer suchten wir der Tyrannei,
Und jubelnd riefen wir: Frei seid ihr, frei!
Aus einem Kerker aber stieg ein Greis,
Verwelkt sein Antlitz und das Haar schneeweiß.
Er starrt' uns an, es war ihm wie ein Traum;
Ans Geh'n längst nicht gewöhnt, vermochten kaum
Die Füße seines Leibes Last zu tragen.
Doch nannt' er Straß' und Haus auf unser Fragen
Nach seiner Wohnung, die nun funfzig Jahre,
Fluch den Tyrannen! er nicht mehr gesehn,
Und Männer trugen ihn auf einer Bahre;
Wie ein Triumphzug war es anzusehn.
Wir kamen an; man öffnete, man frug,
Maß dann mit kalt neugierig fremden Blicken
Den Alten, den man auf der Bahre trug,
Und schüttelte den Kopf. Mit festem Nicken
Bestätigte jedoch der mürbe Greis,
Was er verwirrt fast selbst bezweifelt hätte:
'Ja wohl, hier ist's, ich weiß doch, was ich weiß;
Dies ist mein Haus und meine Heimatsstätte.
Wo ist denn meine Frau?' — Noch Viele kamen,
Doch nicht ein Einz'ger kannte ihren Namen;
Man sprach wol was von einer jungen Frau,
Die plötzlich, als verhaftet ward ihr Gatte,
Der Schmerz aufs Todtenbett geworfen hatte,
Doch wußte Niemand mehr etwas genau.
Dreimal schon war das Haus verkauft indessen
Und wem es sonst gehörte längst vergessen.
Wir fragten in der Nachbarschaft umher,
Umsonst! es kannt' ihn Niemand, Niemand mehr.
Hinstarben seine Freunde Jahr um Jahr,
Indeß er lebend wie begraben war;
Zwei Menschenalter schlossen ihre Reih'n,
Und als er wiederkam, stand er allein.
Da brach aus seiner Brust ein stöhnend Ach,
Und aus den Augen ihm ein Thränenbach.
So stand er in sich schmerzgebrochen da,
Indeß die bleiche Menge auf ihn sah.
Dann zuckt' er wie in Wuth, wie krampfhaft rafft'
Er sich empor: 'Was steht ihr da und gafft?
Fluch eurer Freiheit, die mein Bett mir nahm,
Die in die Wüste mich zu stoßen kam!
Mein Kerker war mein einziges Asyl;
Wo ich daheim, bin ich wie im Exil.
Dort war doch eine Spinne mein Gefährte,
Jetzt aber steh' ich einsam auf der Erde.
Hoch leb' der König, der ein Dach mir gab!
Mir bleibt nun keine Heimat als das Grab!'
Wir wagten nicht der Läst'rung ihn zu zeihn,
Stumm wich die Meng', entsetzt; er blieb allein.
Mitleidig nahm ihn Einer in sein Haus,
Dort haucht' er bald die müde Seele aus.“ — Wir saßen wie erstarrt, als er zu Ende,
Und scheu und schweigend ging ein Jeder fort;
Er aber drückt' sein Haupt in beide Hände
Und murmelte für sich das düstre Wort:
„Wie er steh' ich auf dieser Welt allein,
Ich möchte wieder heim im Bagno sein.“ —"	l0020151	AGITATION#LOVE#SADNESS
6196	Tief im Schoosse der Gewässer ruhet das versunkne Bild Ziel, Ernst	"Und der Fischer, sein nicht achtend, lenkt den Kahn darüber hin,
Blickt nur in die schwarzen Augen seiner schmucken Fischerin."	0.0	1.0	0.0	0.0	1.0	0.0	"Tief im Schoosse der Gewässer ruhet das versunkne Bild
Ziel, Ernst Tief im Schoosse der Gewässer ruhet das versunkne Bild,
Dehnt die weissen Marmorglieder durch das grüne Meergefild. Ehemals auf hohem Sockel ragte es am sonngen Strand,
Doch die Zeit ergriff es neidisch, warf es in des Meeres Sand. Und der Fischer, sein nicht achtend, lenkt den Kahn darüber hin,
Blickt nur in die schwarzen Augen seiner schmucken Fischerin."	l00160329	ANGER#LOVE
2980	Geh zur Ruh Beck, Karl l00200186	"Laß dein Hangen, laß dein Bangen
Irrend Auge, schließ dich zu!
Sieh, der Tag ist schlafen gangen,
Schlafen geh auch du!
Ach, das süß erlebte Glück
Spiegelt dir der Traum zurück,
Geh zur Ruh!"	0.0	0.0	1.0	1.0	0.0	0.0	"Geh zur Ruh
Beck, Karl Sorgenvolle, wetterschwüle
Mädchenstirne, geh zur Ruh!
Lieblich weht des Abends Kühle,
Werde kühl auch du!
Träume, daß der Hauch der Nacht
Dir ein Palmenblatt gebracht,
Geh zur Ruh! Laß dein Hangen, laß dein Bangen
Irrend Auge, schließ dich zu!
Sieh, der Tag ist schlafen gangen,
Schlafen geh auch du!
Ach, das süß erlebte Glück
Spiegelt dir der Traum zurück,
Geh zur Ruh!"	l00200186	FEAR#JOY
